DEFINE
BS_ANTENNA|Support_Number|Cartoradio_Number|Lat|Lng|Height|Info_Addr|Info_Municipality|Ant_Number|Dest_Lat|Dest_Lng|Azimuth|AzimuthMin|AzimuthMax|MinFreq|MaxFreq
DELIMITER|Cartoradio_Number|Support_Lat|Support_Lng|Del_Lat|Del_Lng
CONTENT
BS_ANTENNA|93412|77178|48.09111111111111|-1.0955555555555556|34.7|N.157 - AIRE D'ERBRÉE|ERBREE|9562435|48.09094010103945|-1.0960254018659485|250.0|177.5|357.5|3710.0|3800.0
BS_ANTENNA|93412|77178|48.09111111111111|-1.0955555555555556|34.3|N.157 - AIRE D'ERBRÉE|ERBREE|168816|48.09094010103945|-1.0960254018659485|250.0|177.5|357.5|708.0|718.0
BS_ANTENNA|93412|77178|48.09111111111111|-1.0955555555555556|34.3|N.157 - AIRE D'ERBRÉE|ERBREE|168816|48.09094010103945|-1.0960254018659485|250.0|177.5|357.5|763.0|773.0
DELIMITER|77178|48.09111111111111|-1.0955555555555556|48.390825577585666|-1.1086413717651564
DELIMITER|77178|48.09111111111111|-1.0955555555555556|47.791396644636556|-1.0824697393459548
BS_ANTENNA|93538|199704|48.121944444444445|-1.6011111111111112|22.8|52 R DE BELLE EPINE|CESSON SEVIGNE|9365677|48.122377457146335|-1.600861111111111|30.0|-30.0|90.0|3710.0|3800.0
BS_ANTENNA|93538|199704|48.121944444444445|-1.6011111111111112|22.8|52 R DE BELLE EPINE|CESSON SEVIGNE|9365679|48.121511431742555|-1.600861111111111|150.0|90.0|210.0|3710.0|3800.0
BS_ANTENNA|93538|199704|48.121944444444445|-1.6011111111111112|24.6|52 R DE BELLE EPINE|CESSON SEVIGNE|9365681|48.121944444444445|-1.601611111111111|270.0|210.0|330.0|3710.0|3800.0
DELIMITER|199704|48.121944444444445|-1.6011111111111112|48.381752065579775|-1.751111111111111
DELIMITER|199704|48.121944444444445|-1.6011111111111112|48.121944444444445|-1.301111111111111
DELIMITER|199704|48.121944444444445|-1.6011111111111112|47.862136823309115|-1.7511111111111113
BS_ANTENNA|132400|321272|48.09972222222222|-1.6658333333333335|17.0|45, R DE RIAVAL|RENNES|6549762|48.10015523492411|-1.6655833333333334|30.0|-30.0|90.0|3710.0|3800.0
BS_ANTENNA|132400|321272|48.09972222222222|-1.6658333333333335|16.0|45, R DE RIAVAL|RENNES|239602|48.10015523492411|-1.6655833333333334|30.0|-30.0|90.0|708.0|718.0
