Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
1851554;-1.6877777777777778;48.10027777777778;"48°6'1.000""N 1°41'16.000""W";35238;"";22 R BUFERON;35000;RENNES;Bâtiment;18.7;"Copropriété, Syndic, SCI"
1858904;-1.7102777777777778;48.0925;"48°5'33.000""N 1°42'37.000""W";35281;"";R DE LA BUTTE DES FUSILLES DE LA MALTIERE GAREGE ATELIER;35136;SAINT JACQUES DE LA LANDE;Immeuble;12.0;Société Privée SA
1874387;-1.5266666666666668;48.0925;"48°5'33.000""N 1°31'36.000""W";35207;LA CHENAIE;"";35530;NOYAL SUR VILAINE;Pylône autostable;42.5;TDF
1877742;-1.6330555555555555;48.08583333333333;"48°5'9.000""N 1°37'59.000""W";35055;"";"18 ALLEE DE GUERLEDAN PARC D'ACTIVITE ROCADE SUD";35135;CHANTEPIE;Bâtiment;13.6;Société Privée SA
1878476;-1.7336111111111112;48.08111111111111;"48°4'52.000""N 1°44'1.000""W";35281;"";3 AV DE BELLEVUE;35136;SAINT JACQUES DE LA LANDE;Pylône tubulaire;30.2;ATC FRANCE
1889026;-1.575;48.11555555555555;"48°6'56.000""N 1°34'30.000""W";35051;"";PORTE DE LA RIGOURDIERE;35236;CESSON SEVIGNE;Pylône autostable;40.0;DDE
1889316;-1.7172222222222222;48.11805555555556;"48°7'5.000""N 1°43'2.000""W";35238;"";10 R MAURICE FABRE CITÉ ADMINISTRATIVE;35000;RENNES;Pylône autostable;45.0;DDE
1889885;-1.7133333333333334;48.10805555555555;"48°6'29.000""N 1°42'48.000""W";35238;"";111 RUE DE LORIENT STADE DE FOOTBALL;35000;RENNES;Bâtiment;38.0;"Commune, communauté de commune"
1889887;-1.7125;48.106944444444444;"48°6'25.000""N 1°42'45.000""W";35238;"";111 RUE DE LORIENT STADE DE FOOTBALL;35000;RENNES;Bâtiment;38.0;"Commune, communauté de commune"
1896553;-1.6955555555555555;48.11611111111111;"48°6'58.000""N 1°41'44.000""W";35238;"";19 R PIERRE ET MARIE CURIE;35000;RENNES;Bâtiment;41.9;Société HLM
1905881;-1.6327777777777777;48.16416666666667;"48°9'51.000""N 1°37'58.000""W";35024;ZAC DE PLUVIGNON;ROCADE NORD - D29 VILLAGE LA FORME LEROY-MERLIN;35830;BETTON;Bâtiment;14.0;Société Privée SA
1910550;-1.7194444444444446;48.11472222222222;"48°6'53.000""N 1°43'10.000""W";35238;"";"ROUTE DE VEZIN, LE PETIT CHAMPEAUX";35000;RENNES;Pylône tubulaire;26.0;CELLNEX
1933535;-1.5597222222222222;48.09638888888889;"48°5'47.000""N 1°33'35.000""W";35051;LA PLANCHE ALMOT;PRÈS D32;35510;CESSON SEVIGNE;Pylône autostable;32.5;TDF
1942370;-1.633888888888889;48.09305555555556;"48°5'35.000""N 1°38'2.000""W";35238;"";260 RUE DE CHATEAUGIRON;35000;RENNES;Pylône tubulaire;31.3;ON TOWER FRANCE
1942410;-1.6816666666666666;48.115;"48°6'54.000""N 1°40'54.000""W";35238;"";PLACE SAINTE ANNE PLAIS DES CONGRES RENNES;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
1952107;-1.7044444444444444;48.10055555555556;"48°6'2.000""N 1°42'16.000""W";35238;"";1 R JULES LEBRUN;35000;RENNES;Bâtiment;21.0;"Copropriété, Syndic, SCI"
1964907;-1.7066666666666666;48.10111111111111;"48°6'4.000""N 1°42'24.000""W";35238;"";42 RUE FERDINAND DE LESSEPS;35000;RENNES;Immeuble;20.8;Société Privée SA
1986976;-1.588888888888889;48.11361111111111;"48°6'49.000""N 1°35'20.000""W";35051;"";20 RUE DE LA RIGOURDIERE;35510;CESSON SEVIGNE;Bâtiment;18.4;Société Privée SA
2020089;-1.7080555555555557;48.08638888888889;"48°5'11.000""N 1°42'29.000""W";35281;HÔTEL CAMPANILE;5 R FRÉDÉRIC BENOÎT;35136;SAINT JACQUES DE LA LANDE;Bâtiment;15.2;Société Privée SA
2029816;-1.7113888888888888;48.12138888888889;"48°7'17.000""N 1°42'41.000""W";35238;MÉTRO J.F KENNEDY;55 COURS KENNEDY;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
2029822;-1.7041666666666666;48.12138888888889;"48°7'17.000""N 1°42'15.000""W";35238;METRO VILLLEJEAN UNIVERSITE;5 PLACE RECTEUR HENRI LE MOAL;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
2029828;-1.6891666666666667;48.11972222222222;"48°7'11.000""N 1°41'21.000""W";35238;METRO PUITS TUMOINE;26 RUE JEAN OGEE;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
2029834;-1.6877777777777778;48.11805555555556;"48°7'5.000""N 1°41'16.000""W";35238;METRO ANATOLE FRANCE;20 RUE DU CARDINAL PAUL GOUYON;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
2029840;-1.6805555555555556;48.114444444444445;"48°6'52.000""N 1°40'50.000""W";35238;METRO SAINTE ANNE;20 PLACE SAINT ANNE;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
2029846;-1.6791666666666667;48.109722222222224;"48°6'35.000""N 1°40'45.000""W";35238;METRO REPUBLIQUE;1 B PLACE DE LA REPUBLIQUE;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
